uuid_a,uuid_b,sku_uuid_a,sku_uuid_b,score,base_source_store,comp_source_store
sku_821829793<>821829793<>walmart<>walmart,sku_pb002554<>pb002554<>entirelypets<>entirelypets,821829793<>walmart<>walmart,pb002554<>entirelypets<>entirelypets,0.9,walmart,walmart
sku_328012055<>328012055<>walmart<>walmart,sku_848389863<>848389863<>walmart<>walmart,328012055<>walmart<>walmart,848389863<>walmart<>walmart,0.9,walmart,walmart
sku_938776669<>938776669<>walmart<>walmart,sku_917115167<>917115167<>walmart<>walmart,938776669<>walmart<>walmart,917115167<>walmart<>walmart,0.9,walmart,walmart
Sku_253665225<>253665225<>walmart<>walmart,sku_509654014<>509654014<>walmart<>walmart,253665225<>walmart<>walmart,509654014<>walmart<>walmart,0.9,walmart,walmart
sku_753214905<>753214905<>walmart<>walmart,sku_722146949<>722146949<>walmart<>walmart,753214905<>walmart<>walmart,722146949<>walmart<>walmart,0.9,walmart,walmart
019035462721<>783011909<>walmart<>walmart,656661119621<>442452479<>walmart<>walmart,783011909<>walmart<>walmart,442452479<>walmart<>walmart,0.9,walmart,walmart
sku_1532138711<>1532138711<>walmart<>walmart,656661119621<>442452479<>walmart<>walmart,1532138711<>walmart<>walmart,442452479<>walmart<>walmart,0.9,walmart,walmart
656661119836<>693342359<>walmart<>walmart,656661120429<>494938475<>walmart<>walmart,693342359<>walmart<>walmart,494938475<>walmart<>walmart,0.9,walmart,walmart
